instance_name,algorithm,epsilon,n_success,seed_mode,n,r,L,full_dim,p0,p0_reference,p0_midpoint,baseline_abs_error,baseline_rel_error,baseline_mode,integrator_version,h0_model_version,fk_input_term,p0_reference_source,integrator,integrator_note,norm_method,norm_iters,median_p_raw,min_p_raw,q1_p_raw,q3_p_raw,max_p_raw,median_p_normalized,min_p_normalized,q1_p_normalized,q3_p_normalized,max_p_normalized
paper_m2,HMIS-HDQAA,1e-15,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.005679153125597096,0.005679153125596713,0.005679153125596958,0.005679153125597273,0.005679153125597751,0.999999999999965,0.9999999999998975,0.9999999999999407,0.9999999999999962,1.0000000000000804
paper_m2,HMIS-HDQAA,1e-14,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.0056791531255972446,0.005679153125595745,0.005679153125596751,0.005679153125597653,0.005679153125598749,0.9999999999999911,0.9999999999997271,0.9999999999999043,1.000000000000063,1.000000000000256
paper_m2,HMIS-HDQAA,1e-13,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.0056791531255990495,0.005679153125582774,0.005679153125593372,0.005679153125602904,0.005679153125611198,1.000000000000309,0.9999999999974432,0.9999999999993092,1.0000000000009877,1.000000000002448
paper_m2,HMIS-HDQAA,1e-12,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.005679153125606838,0.005679153125460008,0.005679153125566503,0.005679153125636106,0.005679153125827052,1.0000000000016804,0.9999999999758261,0.9999999999945781,1.0000000000068339,1.0000000000404563
paper_m2,HMIS-HDQAA,1e-11,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.005679153125668706,0.005679153123432975,0.005679153125062161,0.005679153126143222,0.005679153127318199,1.0000000000125742,0.999999999618901,0.9999999999057724,1.0000000000961284,1.0000000003030212
paper_m2,HMIS-HDQAA,1e-10,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.005679153126355719,0.005679153107400932,0.005679153122933616,0.005679153130115793,0.005679153140664439,1.0000000001335452,0.9999999967959373,0.9999999995309725,1.000000000795629,1.0000000026530618
paper_m2,HMIS-HDQAA,1e-09,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.005679153133921416,0.005679152951417555,0.0056791530997093555,0.005679153164796018,0.005679153283279033,1.0000000014657329,0.99999996932998,0.9999999954415846,1.0000000069022128,1.0000000277650092
paper_m2,HMIS-HDQAA,1e-08,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.005679153155822658,0.005679151797051776,0.005679152721697533,0.0056791535744237145,0.005679155032859423,1.0000000053221603,0.9999997660662621,0.9999999288802832,1.000000079030519,1.0000003358356582
paper_m2,HMIS-HDQAA,1e-07,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.0056791531595561055,0.005679132726238604,0.005679146747133594,0.005679157320542749,0.005679173113130144,1.0000000059795553,0.9999964080280563,0.9999988768635817,1.0000007386568668,1.0000035194565822
paper_m2,HMIS-HDQAA,1e-06,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.005679154463443189,0.005678978420341696,0.005679098612373074,0.005679192668601056,0.005679287360141957,1.000000235571372,0.9999692374458418,0.999990401170207,1.000006962834579,1.0000236363664958
paper_m2,HMIS-HDQAA,1e-05,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.005679272461691464,0.00567790657318014,0.005678698334261538,0.005679655669707907,0.0056812469745111905,1.0000210130087233,0.9997805038199207,0.9999199191629987,1.0000884892693502,1.0003686903430122
paper_m2,HMIS-HDQAA,0.0001,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.005679071756162321,0.005662227070304173,0.005673938092738392,0.005682838131255181,0.005695010323711156,0.9999856722590192,0.9970196163197586,0.999081723499337,1.0006488653460104,1.0027921765381513
paper_m2,HMIS-HDQAA,0.001,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.005669879073764299,0.005468260010417727,0.005622225009118612,0.0057102769282912,0.0058175627072181,0.9983670009193457,0.962865393745236,0.9899759497200217,1.0054803598363324,1.0243715178231347
paper_m2,HMIS-HDQAA,0.01,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.005717762098015097,0.003987563408387942,0.004986596773805748,0.0061859174319918424,0.008105793870517495,1.006798367919291,0.7021404988034298,0.8780528828021857,1.0892323723603154,1.4272891910561019
paper_m2,HMIS-HDQAA,0.1,100,paired_noise,5,5,70,2272,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,3.7001633060150237e-06,1.410047321964425e-07,1.4256517049874086e-06,7.688234170702535e-06,2.5667847664391922e-05,0.0006515343439741934,2.482847866188017e-05,0.00025103244682057565,0.0013537641969979348,0.004519661135513466
paper_m2,NHMIS-FKQAA,1e-15,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.017885126379342555,0.0006652030685134731,0.00976565543187537,0.027091339074252846,0.1111609648975415,0.27086658989944545,0.010074364750757493,0.14789885902177857,0.4102928028134074,1.6835101331185471
paper_m2,NHMIS-FKQAA,1e-14,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.02015472451500517,0.0012854375912479258,0.011240909900090443,0.02762745973550284,0.07139504668615577,0.3052391905962525,0.019467690050657713,0.17024128694562454,0.4184122408429396,1.081263415277113
paper_m2,NHMIS-FKQAA,1e-13,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.014992120245070876,0.00029847449533414665,0.010532230241259686,0.02766341486248281,0.09408377706104869,0.22705260225810386,0.004520335333861371,0.15950847810507296,0.41895677390509983,1.4248796076062564
paper_m2,NHMIS-FKQAA,1e-12,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.019142408760981826,7.347481521499136e-05,0.011607197263941549,0.025383933289973525,0.07736010756210611,0.2899078750451085,0.001112761085309601,0.175788634337265,0.384434490573775,1.1716030451875536
paper_m2,NHMIS-FKQAA,1e-11,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.02033162915786859,0.0022785705268644272,0.012447269436221032,0.03133649108608259,0.13519982589116084,0.30791837531843247,0.034508485730914785,0.1885113559858848,0.47458476389103227,2.0475737782001433
paper_m2,NHMIS-FKQAA,1e-10,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.018953320848666085,0.00022223833949555088,0.010593568530448353,0.03199255505116898,0.15218008997640448,0.2870441771928346,0.0033657543082056714,0.16043743397993832,0.48452071878504477,2.3047364132751906
paper_m2,NHMIS-FKQAA,1e-09,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.01092199051291363,0.00015136986671272014,0.004101178015541143,0.019135519195269346,0.09877093052281433,0.1654113178961925,0.0022924657472571494,0.062111504278956016,0.28980353397807623,1.4958655904612743
paper_m2,NHMIS-FKQAA,1e-08,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.0034220850770626445,0.0003635941064717117,0.0020904962577577074,0.005398630655784782,0.044771990765448244,0.05182678028153876,0.005506558558136881,0.031660139298227155,0.08176115979521438,0.6780626652799876
paper_m2,NHMIS-FKQAA,1e-07,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.0025812313148097002,0.00012741114847580315,0.001509453305699124,0.004275847753525163,0.010289019519508055,0.039092221612239256,0.0019296158478742235,0.022860362339927526,0.06475684182272687,0.15582510134660976
paper_m2,NHMIS-FKQAA,1e-06,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.003342942720361573,0.00021242724758577177,0.0021091213195408272,0.004970085934100805,0.014729049811971944,0.0506281854367752,0.0032171673229964793,0.03194221205884723,0.07527093742161031,0.22306845422327753
paper_m2,NHMIS-FKQAA,1e-05,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.002769699170315553,2.801929582876917e-06,0.0015005548780686942,0.004389042422690089,0.018233933038982287,0.04194652883063802,4.243465185288473e-05,0.022725597469017502,0.06647115199203674,0.2761491955924058
paper_m2,NHMIS-FKQAA,0.0001,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.0021584284915882436,6.796411999609131e-06,0.0011845251357619855,0.0033827137324160894,0.011368839142244546,0.032688959119326205,0.00010293027305706225,0.017939391501566836,0.051230509299831556,0.17217874921654955
paper_m2,NHMIS-FKQAA,0.001,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.0008470729446998197,1.3799564233533362e-05,0.0004046225888727511,0.0016872279423995286,0.005369362188657889,0.012828746918552996,0.00020899158478146225,0.006127926553028705,0.025552722941263206,0.0813178948322448
paper_m2,NHMIS-FKQAA,0.01,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.0005000873457372604,7.830319693609136e-07,0.0002739664780233464,0.0009166497754176761,0.0027639640819301105,0.007573720817996031,1.1858859413373307e-05,0.004149166412078384,0.013882473823962177,0.041859672087174865
paper_m2,NHMIS-FKQAA,0.1,100,paired_noise,5,5,70,2272,0.06602928174339294,0.06602928174339294,0.06602928174339294,0.0,0.0,midpoint,segment_substeps_v2,full_fk_no_input_v1,none,midpoint_self_reference_no_fk_input,combined,formal,power,64,0.00017402113129573167,6.029346127031227e-06,0.00010087463635362874,0.00029724076760250054,0.0005447342276272935,0.0026355145278124225,9.131321692189298e-05,0.0015277257860482865,0.004501650779083982,0.008249888734883914
paper_m2,NHMIS-HDQAA,1e-15,100,paired_noise,5,5,70,2272,0.9949884072447344,0.9949503534702214,0.9949884072447344,3.805377451293612e-05,3.824690787857996e-05,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.9949884072447343,0.9949884072447339,0.9949884072447341,0.9949884072447344,0.9949884072447346,0.9999999999999999,0.9999999999999996,0.9999999999999998,1.0,1.0000000000000002
paper_m2,NHMIS-HDQAA,1e-14,100,paired_noise,5,5,70,2272,0.9949884072447344,0.9949503534702214,0.9949884072447344,3.805377451293612e-05,3.824690787857996e-05,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.9949884072447343,0.9949884072447334,0.994988407244734,0.9949884072447344,0.9949884072447351,0.9999999999999999,0.999999999999999,0.9999999999999997,1.0,1.0000000000000009
paper_m2,NHMIS-HDQAA,1e-13,100,paired_noise,5,5,70,2272,0.9949884072447344,0.9949503534702214,0.9949884072447344,3.805377451293612e-05,3.824690787857996e-05,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.9949884072447335,0.9949884072447255,0.9949884072447313,0.9949884072447364,0.9949884072447418,0.9999999999999991,0.9999999999999911,0.9999999999999969,1.000000000000002,1.0000000000000075
paper_m2,NHMIS-HDQAA,1e-12,100,paired_noise,5,5,70,2272,0.9949884072447344,0.9949503534702214,0.9949884072447344,3.805377451293612e-05,3.824690787857996e-05,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.9949884072447344,0.9949884072446479,0.9949884072447117,0.9949884072447566,0.9949884072448104,1.0,0.9999999999999131,0.9999999999999772,1.0000000000000222,1.0000000000000764
paper_m2,NHMIS-HDQAA,1e-11,100,paired_noise,5,5,70,2272,0.9949884072447344,0.9949503534702214,0.9949884072447344,3.805377451293612e-05,3.824690787857996e-05,midpoint,segment_substeps_v2,full_fk_input_v1,not_applicable,full_space_validation,combined,formal,power,64,0.9949884072447175,0.9949884072440162,0.9949884072445253,0.994988407244926,0.9949884072460169,0.9999999999999831,0.9999999999992781,0.99999999999979,1.0000000000001927,1.000000000001289
