instance_name,algorithm,epsilon,realization,seed,seed_mode,n_noise,steps_per_segment,n_time_steps,n_real,n,r,L,full_dim,p_raw,p0,p0_reference,p0_midpoint,baseline_abs_error,baseline_rel_error,baseline_mode,integrator_version,h0_model_version,fk_input_term,p0_reference_source,integrator,integrator_note,norm_method,norm_iters,p_normalized,final_norm,runtime_seconds,status,error_message,cache_hit
paper_m2,HMIS-HDQAA,1e-15,14,802280184,paired_noise,70,8,560,20,5,5,70,2272,0.005679153125596893,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999293,1.0000000000000009,857.9052247218788,success,,False
paper_m2,HMIS-HDQAA,1e-15,15,857231401,paired_noise,70,8,560,20,5,5,70,2272,0.005679153125597073,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999609,1.0000000000000009,850.7117844130844,success,,False
paper_m2,HMIS-HDQAA,1e-15,16,2286627895,paired_noise,70,8,560,20,5,5,70,2272,0.005679153125596935,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999366,1.0000000000000004,856.6456145870034,success,,False
paper_m2,HMIS-HDQAA,1e-15,17,475349504,paired_noise,70,8,560,20,5,5,70,2272,0.00567915312559715,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999745,1.0000000000000007,855.3319064259995,success,,False
paper_m2,HMIS-HDQAA,1e-15,18,328730538,paired_noise,70,8,560,20,5,5,70,2272,0.005679153125597353,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.0000000000000102,1.0000000000000007,860.7488399629947,success,,False
paper_m2,HMIS-HDQAA,1e-15,19,2074354181,paired_noise,70,8,560,20,5,5,70,2272,0.005679153125596821,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999166,1.000000000000001,849.7266963748261,success,,False
paper_m2,HMIS-HDQAA,1e-15,20,3005028625,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597216,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999861,1.0000000000000004,851.3405911519658,success,,False
paper_m2,HMIS-HDQAA,1e-15,21,582513869,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125596975,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999436,1.0000000000000004,848.4085042590741,success,,False
paper_m2,HMIS-HDQAA,1e-15,22,4071370307,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125596972,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999432,1.0000000000000007,856.5787029420026,success,,False
paper_m2,HMIS-HDQAA,1e-15,23,2534938278,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125596893,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999293,1.0000000000000009,861.8556318948977,success,,False
