algorithm,graph_id,graph_hash,m,n,sample_id,seed,delete_probability,deleted_edge_count,num_edges,r,L,x_star_index,mis_size,x_star_left_count,x_star_right_count,gamma,Omega,p_gate,q_gate,absf2,absg2,success_probability,ideal_NH_circuit,fk_method,fk_num_steps,fk_norm_error,runtime_prepare,runtime_solver,runtime_total,cache_hit_prefix,cache_hit_clock,status,error_message
NHMIS-HDQAA,cklr_m3_s05_076797d9321de9d9,076797d9321de9d9,3,9,5,4220269119644436256,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9996028762970404,0.9999504109302378,expm,,,0.1619152640923857,0.0003602281212806,0.2100903771352023,False,False,success,
HMIS-HDQAA,cklr_m3_s06_353050acb13ed028,353050acb13ed028,3,9,6,6703737885001815866,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.1885162771213799,4.759011790156365e-05,0.2545016198419034,False,False,success,
NHMIS-FKQAA,cklr_m3_s06_353050acb13ed028,353050acb13ed028,3,9,6,6703737885001815866,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1471023730177777,0.9999504109302378,expm,2304.0,1.454392162258955e-14,0.1885162771213799,0.0014242529869079,0.2540741418488323,False,True,success,
NHMIS-HDQAA,cklr_m3_s06_353050acb13ed028,353050acb13ed028,3,9,6,6703737885001815866,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9996028763363602,0.9999504109302378,expm,,,0.1885162771213799,0.0003684489056468,0.2544516648631543,False,False,success,
HMIS-HDQAA,cklr_m3_s07_abc5b9ecea799bd8,abc5b9ecea799bd8,3,9,7,8531886351036377610,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.1607408029958605,6.278790533542633e-05,0.2160903720650822,False,False,success,
NHMIS-FKQAA,cklr_m3_s07_abc5b9ecea799bd8,abc5b9ecea799bd8,3,9,7,8531886351036377610,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1471024295835716,0.9999504109302378,expm,2304.0,1.454392162258955e-14,0.1607408029958605,0.0014376679901033,0.2156587790232151,False,True,success,
NHMIS-HDQAA,cklr_m3_s07_abc5b9ecea799bd8,abc5b9ecea799bd8,3,9,7,8531886351036377610,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.999602876611146,0.9999504109302378,expm,,,0.1607408029958605,0.0003570141270756,0.2160251529421657,False,False,success,
HMIS-HDQAA,cklr_m3_s08_be0995712f602aae,be0995712f602aae,3,9,8,697842740858969045,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.1609725719317793,5.550310015678406e-05,0.2079246288631111,False,False,success,
NHMIS-FKQAA,cklr_m3_s08_be0995712f602aae,be0995712f602aae,3,9,8,697842740858969045,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1471025095920028,0.9999504109302378,expm,2304.0,1.454392162258955e-14,0.1609725719317793,0.0014251780230551,0.2074986388906836,False,True,success,
NHMIS-HDQAA,cklr_m3_s08_be0995712f602aae,be0995712f602aae,3,9,8,697842740858969045,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.999602876964458,0.9999504109302378,expm,,,0.1609725719317793,0.0003578730393201,0.2078656419180333,False,False,success,
HMIS-HDQAA,cklr_m3_s09_72d015b8de33b041,72d015b8de33b041,3,9,9,6615417545838800994,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1638495519197265,0.999946596552986,expm,,,0.1501081851311028,4.289788194000721e-05,0.206059054005891,False,False,success,
NHMIS-FKQAA,cklr_m3_s09_72d015b8de33b041,72d015b8de33b041,3,9,9,6615417545838800994,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.0450381736263683,0.999946596552986,expm,2232.0,5.573319583618287e-14,0.1501081851311028,0.0013357149437069,0.2056700659450143,False,True,success,
NHMIS-HDQAA,cklr_m3_s09_72d015b8de33b041,72d015b8de33b041,3,9,9,6615417545838800994,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9995990639024426,0.999946596552986,expm,,,0.1501081851311028,0.0003354980144649,0.2060140408575534,False,False,success,
HMIS-HDQAA,cklr_m3_s10_f9561adc5b4db14e,f9561adc5b4db14e,3,9,10,8991676999248212059,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1638495519197265,0.999946596552986,expm,,,0.1954904291778803,4.804390482604504e-05,0.2628143939655274,False,False,success,
NHMIS-FKQAA,cklr_m3_s10_f9561adc5b4db14e,f9561adc5b4db14e,3,9,10,8991676999248212059,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.0450382485322471,0.999946596552986,expm,2232.0,5.5733195836182884e-14,0.1954904291778803,0.0014831728767603,0.2624066541902721,False,True,success,
NHMIS-HDQAA,cklr_m3_s10_f9561adc5b4db14e,f9561adc5b4db14e,3,9,10,8991676999248212059,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9995990645306514,0.999946596552986,expm,,,0.1954904291778803,0.0003471858799457,0.2627634841483086,False,False,success,
HMIS-HDQAA,cklr_m3_s11_0705c58ae270fade,0705c58ae270fade,3,9,11,2258410574889580943,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1638495519197265,0.999946596552986,expm,,,0.1498079358134418,5.164509639143944e-05,0.1932090849149972,False,False,success,
NHMIS-FKQAA,cklr_m3_s11_0705c58ae270fade,0705c58ae270fade,3,9,11,2258410574889580943,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.0450381665457936,0.999946596552986,expm,2232.0,5.5733195836182884e-14,0.1498079358134418,0.0014439090155065,0.1927948528900742,False,True,success,
NHMIS-HDQAA,cklr_m3_s11_0705c58ae270fade,0705c58ae270fade,3,9,11,2258410574889580943,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9995990638632364,0.999946596552986,expm,,,0.1498079358134418,0.0003503051120787,0.1931545839179307,False,False,success,
HMIS-HDQAA,cklr_m3_s12_bcbedf8fb959efd7,bcbedf8fb959efd7,3,9,12,1253517718323070909,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.1616119770333171,4.606880247592926e-05,0.2157238288782537,False,False,success,
NHMIS-FKQAA,cklr_m3_s12_bcbedf8fb959efd7,bcbedf8fb959efd7,3,9,12,1253517718323070909,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1471025761437606,0.9999504109302378,expm,2304.0,1.454392162258955e-14,0.1616119770333171,0.0014706240035593,0.2153080238495022,False,True,success,
NHMIS-HDQAA,cklr_m3_s12_bcbedf8fb959efd7,bcbedf8fb959efd7,3,9,12,1253517718323070909,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9996028771215107,0.9999504109302378,expm,,,0.1616119770333171,0.0003577449824661,0.2156753668095916,False,False,success,
HMIS-HDQAA,cklr_m3_s13_198a932c0fcbcb2c,198a932c0fcbcb2c,3,9,13,3910390575111148266,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1638495519197265,0.999946596552986,expm,,,0.1514795860275626,5.035707727074623e-05,0.2044799828436225,False,False,success,
NHMIS-FKQAA,cklr_m3_s13_198a932c0fcbcb2c,198a932c0fcbcb2c,3,9,13,3910390575111148266,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.045038263113945,0.999946596552986,expm,2232.0,5.5733195836182884e-14,0.1514795860275626,0.0014245191123336,0.2040567728690803,False,True,success,
NHMIS-HDQAA,cklr_m3_s13_198a932c0fcbcb2c,198a932c0fcbcb2c,3,9,13,3910390575111148266,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9995990646483838,0.999946596552986,expm,,,0.1514795860275626,0.0003604600206017,0.2044269079342484,False,False,success,
HMIS-HDQAA,cklr_m3_s14_5abb694d76af8aef,5abb694d76af8aef,3,9,14,2295013752709288223,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.170954501023516,5.075591616332531e-05,0.232526684878394,False,False,success,
NHMIS-FKQAA,cklr_m3_s14_5abb694d76af8aef,5abb694d76af8aef,3,9,14,2295013752709288223,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1471024018282515,0.9999504109302378,expm,2304.0,1.454392162258955e-14,0.170954501023516,0.0014085208531469,0.2321018429938703,False,True,success,
NHMIS-HDQAA,cklr_m3_s14_5abb694d76af8aef,5abb694d76af8aef,3,9,14,2295013752709288223,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9996028764540932,0.9999504109302378,expm,,,0.170954501023516,0.0003618029877543,0.2324734758585691,False,False,success,
HMIS-HDQAA,cklr_m3_s15_2118ce9772a7864e,2118ce9772a7864e,3,9,15,5417933993739570793,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1638495519197265,0.999946596552986,expm,,,0.1532096688169986,4.6347035095095634e-05,0.2148052540142089,False,False,success,
